iter	Passed	Remaining
229	2739	3216
230	2754	3207
231	2765	3194
232	2775	3180
233	2789	3170
234	2804	3162
235	2816	3151
236	2828	3139
237	2840	3127
238	2851	3114
239	2861	3100
240	2870	3084
241	2879	3069
242	2887	3054
243	2896	3039
244	2905	3023
245	2914	3009
246	2923	2994
247	2932	2979
248	2943	2966
249	2962	2962
250	2982	2959
251	2998	2950
252	3011	2939
253	3025	2930
254	3039	2919
255	3054	2911
256	3068	2901
257	3082	2891
258	3095	2880
259	3109	2870
260	3122	2859
261	3134	2847
262	3146	2835
263	3157	2822
264	3171	2812
265	3182	2799
266	3193	2786
267	3207	2777
268	3220	2765
269	3235	2755
270	3249	2745
271	3260	2732
272	3272	2721
273	3284	2709
274	3297	2698
275	3312	2688
276	3328	2679
277	3342	2668
278	3357	2659
279	3373	2650
280	3387	2640
281	3401	2629
282	3413	2617
283	3427	2606
284	3442	2596
285	3453	2583
286	3464	2571
287	3473	2556
288	3482	2542
289	3491	2528
290	3501	2514
291	3511	2501
292	3519	2486
293	3529	2473
294	3540	2460
295	3551	2447
296	3565	2436
297	3577	2425
298	3586	2411
299	3596	2397
300	3605	2383
301	3614	2369
302	3624	2356
303	3632	2342
304	3641	2327
305	3650	2314
306	3658	2300
307	3667	2286
308	3676	2272
309	3685	2258
310	3694	2245
311	3702	2231
312	3711	2217
313	3720	2204
314	3729	2190
315	3739	2177
316	3751	2165
317	3764	2154
318	3773	2141
319	3784	2129
320	3794	2115
321	3802	2102
322	3811	2088
323	3821	2075
324	3830	2062
325	3841	2050
326	3850	2037
327	3859	2024
328	3869	2011
329	3880	1998
330	3890	1986
331	3900	1973
332	3910	1961
333	3919	1947
334	3929	1935
335	3939	1923
336	3950	1910
337	3963	1899
338	3975	1887
339	3987	1876
340	4001	1865
341	4013	1854
342	4023	1841
343	4036	1830
344	4047	1818
345	4058	1806
346	4069	1794
347	4082	1783
348	4093	1771
349	4103	1758
350	4115	1747
351	4127	1735
352	4137	1723
353	4151	1712
354	4166	1701
355	4179	1690
356	4191	1679
357	4201	1666
358	4213	1655
359	4225	1643
360	4237	1631
361	4247	1619
362	4256	1606
363	4265	1593
364	4274	1580
365	4282	1568
366	4291	1555
367	4300	1542
368	4309	1529
369	4317	1516
370	4325	1504
371	4335	1491
372	4347	1480
373	4357	1468
374	4368	1456
375	4376	1443
376	4385	1430
377	4394	1418
378	4403	1405
379	4412	1393
380	4420	1380
381	4429	1368
382	4438	1355
383	4446	1343
384	4455	1330
385	4463	1318
386	4472	1305
387	4481	1293
388	4489	1281
389	4499	1269
390	4508	1256
391	4517	1244
392	4526	1232
393	4536	1220
394	4549	1209
395	4559	1197
396	4568	1185
397	4577	1173
398	4586	1160
399	4594	1148
400	4603	1136
401	4611	1124
402	4620	1112
403	4628	1099
404	4636	1087
405	4644	1075
406	4652	1063
407	4660	1050
408	4668	1038
